,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Karelian Bear Dog,"The Karelian Bear Dog is a medium-sized spitz with a dense coat. Bred to hunt large, aggressive game by himself, his build reflects his duties. He is a silent hunter, and only barks once the game is stopped or treed. Working with an experienced hunter, he communicates the type of animal he has located by the sound of his bark. Though he can demonstrate self-control around people, his fighting spirit surfaces around other dogs and can be difficult to handle. His spirit easily turns into aggression, as Karelian Bear Dogs love a challenge. Club Contact DetailsClub: American Karelian Bear Dog AllianceName: Maureen GriffinEmail: nytwind@comcast.netPhone: 860-434-9198 The Karelian Bear Dog is an eager hunter and very independent, yet works cooperatively to mark game by barking. Their senses, especially smell, are sharp, thus the breed is suitable for big game hunting. They have a very good sense of direction, are balanced, courageous and persistent. This breed has a highly developed spirit for game and are very self-confident. They may be territorial towards other males, but are never aggressive towards people, though they may be slightly reserved.","Loyal, Independent, Courageous",,48.26,59.69,19.958064280000002,22.22602613,11.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.4,Calm,,,,
Keeshond,"These square, sturdy companions descend from the same ancient stock as other spitz types, such as Pomeranians and Samoyeds. Typically “spitzy,” Keeshonden have a foxy face, pointed ears, an abundant coat, and a plumed tail carried high over the back. A unique breed characteristic—and one of the most charming hallmarks in all dogdom—is the “spectacles.” These shadings and markings around the eyes give the impression that a Kees is wearing designer eyewear. The specs draw attention to an alert, intelligent expression. The amiable Keeshond is a medium-sized spitz dog of ample coat, famous for the distinctive “spectacles” on his foxy face. Once a fixture on the canal barges of his native Holland, the Kees was, and remains, a symbol of Dutch patriotism.","Friendly, Lively, Outgoing",95,43.18,45.72,15.875732950000002,20.41165665,12.0,15.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
Kerry Blue Terrier,"Of course, we begin with the show-stopping coat that turns heads wherever Kerries go. It comes in shades of blue—from a deep slate to a light blue-gray—and is so soft that it’s as pleasing to the touch as it is to the eye. The dense coat covers a muscular, well-developed body standing below 20 inches at the shoulder and weighing up to 40 pounds. A sporty beard and dark, keen eyes accentuate the nobility of the long terrier head. Among the largest of AKC terriers, the Kerry Blue Terrier is famous for his show-stopping blue coat. Named for the Irish county of his birth, this onetime farm dog is today an alert, adaptable, and animated watchdog and family companion.","Smart, Alert, People-Oriented",129,44.45,49.53,14.968548210000002,18.143694800000002,12.0,15.0,Terrier Group,0.6,2-3 Times a Week Brushing,,,0.6,Regular Exercise,0.2,May be Stubborn,0.6,Alert/Responsive
Kishu Ken,"The Kishu Ken is a great dog for an active person and has the ability to be an easy-going house dog when they are not out and about. They are medium-sized, well balanced, and their muscles are well developed. They have pricked ears and a curled or sickle tail. Kishus are very loving and affectionate with their families and need to be included in activities. They are great with kids if raised with them, but they are often aloof with strangers. Kishu Ken have high prey drives and might like to give chase to small animals. If he is raised with a small animal such as a cat, he could do well with them, but most Kishus can’t help but give in to their instincts. Club Contact DetailsClub: American Kishu Ken ClubName: Carleen NewmanEmail: kishuken1@gmail.com Club: National Kishu ClubName: C.J. Hammond – PresidentEmail: info@kishuclub.com The Kishu Ken is a dog of noteworthy endurance, showing nobility, dignity, and naive feeling. His temperament is faithful, docile, and very alert.","Faithful, Noble, Docile",,43.18,55.88,13.6077711,27.2155422,11.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
Komondor,"Our Hungarian-language tip of the day: The plural of Komondor is Komondorok. Now, let’s take a look at the dog. What we see is a large and powerful guardian covered in profuse white cords. A big male can stand more than 27.5 inches and weigh over 100 pounds, with heavy bone, a deep chest, and lots of muscle. Despite their brawn Komondorok are agile and light-footed, and move with long strides. With their unique look, it’s impossible to mistake Koms for anything else. A powerfully large Hungarian flock guardian covered in profuse white cords from head to tail, the Komondor is among the world’s most recognizable breeds. The independent and protective Kom requires a firm, experienced hand at training.","Loyal, Dignified, Brave",173,64.77,69.85,36.287389600000004,45.359237,10.0,12.0,Working Group,1.0,Specialty/Professional,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Kromfohrlander,"The Kromfohrlander is a very intelligent, funny, agile dog which loves to climb and jump and easily excels at agility and dog-trick training but can be fussy with food. They come in two coat types: wirehaired (with beard) and smooth haired (smooth face with no beard and beautiful, long, soft hair). The breed’s nickname in North America is “Kromi” (krome-ee). The Kromfohrlander was bred to be a companion only, retains very little hunting instinct (despite its terrier heritage), and is often long-lived (17-18 years old). He is good with children and family and tends to be a one-person dog. He is very attached to his owner, will not run away, and is first to alert to strangers. Club Contact DetailsClub: Kromfohrlander Club of AmericaName: Mary DixonEmail: kromiclub@gmail.comPhone: 734-277-2270 The Kromfohrlander is a medium-sized companion breed that is sensitive, loving and loyal to its owners. He has a distinctive 'smile' and will sneeze to greet you. Pronunciation of the breed is ""krome-for-lahn-dair.""","Intelligent, Active, Sensitive",,38.1,45.72,9.071847400000001,15.875732950000002,13.0,15.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers
Kuvasz,"Imposing, impressive, majestic, massive, mighty—pick the adjective you like best, they all apply to the Kuvasz (pronounced KOO-vahz; the plural is Kuvaszok, pronounced KOO-vah-sock). This snow-white livestock guardian of luxuriant coat can stand as high as 30 inches at the shoulder, and weigh between 70 and 110 pounds. Despite their size and strength, Kuvs are quick-moving, nimble-footed protectors when meeting a threat. The breed’s fans say that the elegantly proportioned head “is considered to be the most beautiful part of the Kuvasz.” The snow-white Kuvasz is Hungary's majestic guardian of flocks and companion of kings. A working dog of impressive size and strength, the imposing and thickly coated Kuvasz is a beautiful, smart, profoundly loyal, but challenging breed.","Loyal, Fearless, Sweet",163,66.04,76.2,31.751465900000003,52.163122550000004,10.0,12.0,Working Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Labrador Retriever,"The sturdy, well-balanced Labrador Retriever can, depending on the sex, stand from 21.5 to 24.5 inches at the shoulder and weigh between 55 to 80 pounds. The dense, hard coat comes in yellow, black, and a luscious chocolate. The head is wide, the eyes glimmer with kindliness, and the thick, tapering “otter tail” seems to be forever signaling the breed’s innate eagerness.Labs are famously friendly. They are companionable housemates who bond with the whole family, and they socialize well with neighbor dogs and humans alike. But don’t mistake his easygoing personality for low energy: The Lab is an enthusiastic athlete that requires lots of exercise, like swimming and marathon games of fetch, to keep physically and mentally fit. The sweet-faced, lovable Labrador Retriever is America’s most popular dog breed. Labs are friendly, outgoing, and high-spirited companions who have more than enough affection to go around for a family looking for a medium-to-large dog.","Friendly, Active, Outgoing",1,54.61,62.230000000000004,24.947580350000003,36.287389600000004,10.0,12.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,1.0,Outgoing
Lagotto Romagnolo,"Italians have a word for it: “carino.” In English, we say “cute.” In any language, this breed is totally endearing. The Lagotto Romagnolo (plural: Lagotti Romagnoli) is known for wooly curls that cover the body head to tail, crowned by a lavish beard, eyebrows, and whiskers. Lagotti stand under 20 inches and weigh no more than 35 pounds. But don’t be fooled by their teddy-bear looks—these are rugged workers of true strength and endurance. The breed’s trademark curls feel and behave more like human hair than fur. The Lagotto Romagnolo, Italy’s adorable “truffle dog,” sports a curly coat and lavish facial furnishings. Despite their plush-toy looks, Lagotti are durable workers of excellent nose who root out truffles, a dainty and pricey delicacy.","Affectionate, Keen, Undemanding",99,40.64,48.26,10.886216880000001,15.875732950000002,15.0,17.0,Sporting Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive
Lakeland Terrier,"Square and sturdy Lakelands, standing less than 15 inches at the shoulder and weighing about 17 pounds, are small dogs. But don’t tell them that. With their cock-of-the-walk swagger, Lakelands personify the old dog-lover’s cliché “a big dog in a small package.” They come in several colors; some have a sporty saddle mark on the back.With folded V-shaped ears, straight front, rectangular head, and a mischievous twinkle in their eye, Lakelands are the blueprint of a long-legged British terrier. A bold, zesty “big dog in a small package,” the Lakeland Terrier, named for the Lake District of his native England, was once a farmer’s dog bred to work in packs on sheep-stealing foxes. The Lakeland's coat is hard, wiry, and low-shedding.","Friendly, Confident, Bold",147,35.56,38.1,7.71107029,7.71107029,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
Lancashire Heeler,"Small, powerful, sturdily built, alert and an energetic worker, the Lancashire Heeler works cattle but has terrier instincts when rabbiting and ratting. They have a unique characteristic called the Heeler Smile; when content, Heelers have been known to draw back their lips in an effort that emulates a human smile. In 2003, the breed was placed on the Endangered Breeds list of The Kennel Club, U.K, due to the small number of dogs composing the gene pool and the risk of several inherited diseases. The United States Lancashire Heeler ClubName: Sheryl BradburyEmail: sherylbradbury@windstream.netPhone: 816-308-2424 The Lancashire Heeler is a medium to high energy dog. Intelligent, alert and friendly, they are quick to learn new tasks. A sturdy little dog with a short, weather-resistant coat of black and tan or liver and tan, they are affectionate with their owners, always happy, talkative, and always ready for a walk. Their small size is what gives them their charm.","Affectionate, Versatile, Intelligent",,25.4,30.48,4.082331330000001,7.71107029,12.0,15.0,Miscellaneous Class,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.8,Friendly
Lapponian Herder,"The Lapponian Herder is an independent, fun breed. They are very intelligent and generally eager to please. As a high-energy herding breed, they excel in many other dog sports besides herding, such as companion events. Its love of hard work makes it a wonderful breed in any event that is competitive and fun. Early socialization is important because of their herding mentality and they thrive when they have a job to do. Though eager to please, the Lapponian Herder is very vocal and often barks while working. Breed ContactName: Heidi ChristensonAddress: 519 NW 209th Street, Ridgefield, WA 98642Email: girln2pooches@yahoo.comPhone: 360-609-2942 The Lapponian Herder is a medium-sized dog with a medium coat, making them easy to maintain and perfect for any experienced dog owner. They are a wonderful, rounded, diversified dog breed ready to problem solve any task given to them. They can fit into most living environments as long as they are given jobs to do. This breed comes in many colors including grey-brown, black often with lighter undercoats, and white or tan markings. They are aloof with strangers but love their people.","Friendly, Energetic, Intelligent",,45.72,50.8,31.751465900000003,31.751465900000003,10.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers
Leonberger,"A huge and powerful dog, yes, but the Leonberger is also known for his aristocratic grace and elegance. A male can stand over 31 inches at the shoulder and weigh as much as a full-grown human. Females run smaller but are still a whole lot of dog. Breed hallmarks include a medium-long waterproof coat, lush triangular ears, a bushy tail, and a black facemask that frames kindly dark-brown eyes. A dramatic feature of the male’s coat is the lion-like mane around the neck and chest. A well-built Leo moves with an easy, elastic gait. A Leo is friendly but nobody’s fool. As watchdogs and all-around workers, they exhibit intelligence and sound judgment. Leos require lots of brushing, ample room for romping, and unlimited love. The Leonberger is a lush-coated giant of German origin. They have a gentle nature and serene patience and they relish the companionship of the whole family.","Friendly, Gentle, Playful",93,64.77,80.01,40.8233133,77.1107029,9.0,9.0,Working Group,0.8,Daily Brushing,0.8,Regularly,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly
Lhasa Apso,"Standing less than a foot high at the shoulder, Lhasas are small but hardy dogs of aristocratic bearing. They’re famous for a floor-length, flat-hanging coat, parted in the middle and draping each side of the body. A feathery tail curls over the back in the distinct manner of Tibetan breeds. The breed’s fans say the dark, oval-shaped eyes—peeping through lavish facial hair—are the windows of a Lhasa’s merry soul. The complete picture is unmistakably Asian: exotic, elegant, and serenely well balanced. The lavishly coated Lhasa Apso is a thousand-year-old breed who served as sentinels at palaces and monasteries isolated high in the Himalayas. Smart, confident, and complex, Lhasas are family comedians but regally aloof with strangers.","Confident, Smart, Comical",71,25.4,27.94,5.4431084400000005,8.164662660000001,12.0,15.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Löwchen,"Small dogs with enormous heart, Löwchen (the same singular or plural) stand a bit over a foot tall at the shoulder. The coat is traditionally kept in a “lion clip,” in which most of the hindquarters and tail are clipped down close to the skin. The overall effect is that of a mini lion, with a full mane and plumed tail. The coat comes in several colors and color combinations. Beneath the coat is a dog that’s strong and sturdy, but elegant and artfully balanced. A companion dog whose name is German for “little lion,” the Löwchen has been a popular pet among Continental Europeans for more than 500 years. The portable, non-shedding Löwchen is said to be affectionate, lively, and brave as a lion.","Affectionate, Outgoing, Positive",168,27.94,33.02,4.535923700000001,6.80388555,15.0,15.0,Non-Sporting Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,1.0,Outgoing
Maltese,"Maltese are affectionate toy dogs weighing less than seven pounds, covered by a long, straight, silky coat. Beneath the all-white mantle is a compact body moving with a smooth and effortless gait. The overall picture depicts free-flowing elegance and balance. The irresistible Maltese face—with its big, dark eyes and black gumdrop nose—can conquer the most jaded sensibility.Despite their aristocratic bearing, Maltese are hardy and adaptable pets. They make alert watchdogs who are fearless in a charming toy-dog way, and they are game little athletes on the agility course. Maltese are low-shedding, long-lived, and happy to make new friends of all ages. Sometimes stubborn and willful, they respond well to rewards-based training. The tiny Maltese, “Ye Ancient Dogge of Malta,” has been sitting in the lap of luxury since the Bible was a work in progress. Famous for their show-stopping, floor-length coat, Maltese are playful, charming, and adaptable toy companions.","Gentle, Playful, Charming",37,17.78,22.86,3.17514659,3.17514659,12.0,15.0,Toy Group,0.8,Daily Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,1.0,Outgoing
Manchester Terrier (Standard),"All Manchesters are similar in temperament, body type and athletic ability despite differences in size. They’re easily recognized by a tight coat of rich mahogany tan and jet black. The head is long and wedge-shaped; tan spots above each eye point up a watchful expression. Manchesters can motor, running with good reach in front and propulsive rear drive powered by a muscular caboose. The Manchester Terrier is named after the English city where much of the breed’s early development took place. Sleek, racy dogs who possess a terrier’s ratting instinct and the graceful contours of coursing hounds, Manchesters are spirited, bright, and athletic. They combine the streamlined grace of a coursing hound and the instincts of a fearless rat terrier. These racy dogs come in two size varieties:  Standard (not exceeding 22 pounds) and Toy (not exceeding 12 pounds).","Spirited, Bright, Keenly Observant",133,38.1,40.64,5.4431084400000005,9.979032140000001,15.0,17.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive
Manchester Terrier (Toy),"Manchesters combine the streamlined grace of a small coursing hound and the instincts of a fearless rat terrier. These racy little dogs come in two size varieties: Toy (not exceeding 12 pounds) and Standard (not exceeding 22 pounds). All Manchesters are similar in temperament, body type and athletic ability despite differences in size. They’re easily recognized by a tight coat of rich mahogany tan and jet black. The head is long and wedge-shaped; tan spots above each eye point up a watchful expression. Manchesters can motor, running with good reach in front and propulsive rear drive powered by a muscular caboose. The Manchester Terrier is named after the English city where much of the breed’s early development took place. Sleek, racy dogs who possess a terrier’s ratting instinct and the graceful contours of coursing hounds, Manchesters are spirited, bright, and athletic. They combine the streamlined grace of a coursing hound and the instincts of a fearless Rat Terrier. These racy dogs come in two size varieties:  Toy (not exceeding 12 pounds) and Standard (not exceeding 22 pounds).","Agile, Spirited, Intelligent",133,25.4,30.48,5.4431084400000005,5.4431084400000005,15.0,17.0,Toy Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive
Mastiff,"For the uninitiated, a face-to-face encounter with these black-masked giants can be startling. A male stands at least 30 inches at the shoulder and can outweigh many a full-grown man. The rectangular body is deep and thickly muscled, covered by a short double coat of fawn, apricot, or brindle stripes. The head is broad and massive, and a wrinkled forehead accentuates an alert, kindly expression. Mastiffs are patient, lovable companions and guardians who take best to gentle training. Eternally loyal Mastiffs are protective of family, and a natural wariness of strangers makes early training and socialization essential. Mastiffs are magnificent pets, but acquiring a powerful giant-breed dog is commitment not to be taken lightly. The colossal Mastiff belongs to a canine clan as ancient as civilization itself. A massive, heavy-boned dog of courage and prodigious strength, the Mastiff is docile and dignified but also a formidable protector of those they hold dear.","Courageous, Dignified, Good-Natured",29,69.85,76.2,54.4310844,104.32624510000001,6.0,10.0,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
Miniature American Shepherd,"The Miniature American Shepherd shares many physical traits with its forebear the Australian Shepherd—only on a smaller scale. Females stand between 13 and 17 inches at the shoulder; males range from 14 to 18 inches. Despite their size, Minis are every inch a true herding dog: energetic, versatile, rugged, and extremely bright. The eye-catching coat comes in black, blue merle, red, and red merle. (The merle will exhibit in any amount marbling, flecks, or blotches.) Minis move with the smooth and agile step of a dog built for hard work on punishing terrain. The Miniature American Shepherd resembles a small Australian Shepherd. True herders in spite of their compact size, Minis are bright, self-motivated workers and endearingly loyal and lively companion dogs who have an affinity for horses.","Good-Natured, Intelligent, Devoted",34,33.02,45.72,9.071847400000001,18.143694800000002,12.0,13.0,Herding Group,0.8,Daily Brushing,1.0,Frequent,0.8,Energetic,1.0,Eager to Please,0.8,Friendly
Miniature Bull Terrier,"In nearly every way the Mini is a Bull Terrier, only smaller. In fact, before 1991 the AKC classified the two Bullys as varieties of the same breed. Minis stand between 10 and 14 inches at the shoulder. They’re square, muscular, and, for their size, quite strong. Their trademark is a large egg-shaped head, with its dark, triangular eyes that twinkle with mischief. It’s impossible to mistake the Bull Terrier breeds for any other. The coat can be pure white, or white with predominate colored markings. In most every way the Miniature Bull Terrier is a Bull Terrier, only smaller. These upbeat, mischievous dogs come equipped with terrier fire and fearlessness. If ever a dog could claim the title “Clown Prince of Dogdom,” it’s the Mini.","Upbeat, Mischievous, Comical",110,25.4,35.56,8.164662660000001,12.70058636,11.0,13.0,Terrier Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive
Miniature Pinscher,"Min Pins are sturdy, compact dogs standing no more than 12.5 inches at the shoulder. The smooth, shiny coat comes in two shades of solid red, or chocolate-and-rust or black-and-rust. The dark, slightly oval eyes and high-set ears help bring out a self-possessed, “big dog” personality. A distinguishing characteristic is the Min Pin’s high-stepping “hackney” gait, reminiscent of a hackney horse at the trot. The leggy Miniature Pinscher is known to fans as the “King of Toys.” This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping “hackney” gait.","Fearless, Fun-Loving, Proud",70,25.4,31.75,3.62873896,4.535923700000001,12.0,16.0,Toy Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
Miniature Schnauzer,"Stocky, robust little dogs standing 12 to 14 inches, Miniature Schnauzers were bred down from their larger cousins, Standard Schnauzers. The bushy beard and eyebrows give Minis a charming, human-like expression. The hard, wiry coat comes in three color patterns: salt and pepper, black and silver, and solid black. Created to be all-around farm dogs and ratters, they are tough, muscular, and fearless without being aggressive.The Miniature Schnauzer is a bright, friendly, trainable companion, small enough to adapt to apartment life but tireless enough to patrol acres of farmland. They get along well with other animals and kids. Minis are sturdy little guys and enjoy vigorous play. Home and family oriented, they make great watchdogs. The Miniature Schnauzer, the smallest of the three Schnauzer breeds, is a generally healthy, long-lived, and low-shedding companion. Add an outgoing personality, a portable size, and sporty good looks, and you’ve got an ideal family dog.","Friendly, Smart, Obedient",19,30.48,35.56,4.9895160700000005,9.071847400000001,12.0,15.0,Terrier Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive
Mountain Cur,"The Mountain Cur is a fast, hard hunter that runs track with its head in the air. He can be open, semi-open, or silent on track and has a clear bark that can be heard a long distance. They will circle and drift on a cold track if a hot one is not available until they locate a hot track. They are courageous fighters when required and extremely intelligent, with strong treeing instincts, and can easily be trained to leave unwanted game. They respond best to training with a lot of human contact, and in addition to hunting, make great companions and watch dogs. Breed ContactName: Mandy MiddletonAddress: 417 N. Water Street, Georgetown, OH 45121Phone: 937-378-6900Email: walnutridgemtncurs@yahoo.com The Mountain Cur is a hunting dog with a good treeing instinct. It is a very courageous fighter and extremely intelligent, doing whatever job its master desires. The dogs were a crucial part of the cultures of early pioneers, settlers, and homesteaders.","Intelligent, Strong-Willed, Reserved with Strangers",,40.64,66.04,13.6077711,27.2155422,10.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.4,Reserved with Strangers
Mudi,"The Mudi (pronounced “moodie”) is a medium-sized herding dog from Hungary which has been in existence since the 19th century. It is said the Mudi evolved naturally from crosses of the Puli, Pumi and German Spitz breeds. Today, the Mudi, though very rare, is seen as an active, intelligent, biddable working breed. It is estimated there are no more than a few thousand Mudi worldwide, with the greatest numbers being in Hungary, followed by Finland, and then even scarcer throughout Europe, the U.S, and Canada. The Mudi excels at agility, obedience, and flyball, as well as other dog sports. He is a true working breed and shines when herding both cattle and sheep, and has found fame as a search and rescue dog in both Finland and the U.S. Club Contact DetailsClub: Mudi Club of AmericaName: Susanne AndersonEmail: sande2404@gmail.com The Mudi is an extremely versatile, intelligent, alert, agile, all-purpose Hungarian farm dog. His courage is useful for working the most stubborn livestock. The breed is a loyal protector of property and family members without being overly aggressive.","Loyal, Intelligent, Active",,38.1,46.99,8.164662660000001,13.15417873,12.0,14.0,Miscellaneous Class,0.2,Occasional Bath/Brush,0.4,Occasional,1.0,Needs Lots of Activity,1.0,Eager to Please,0.4,Reserved with Strangers
Neapolitan Mastiff,"Unless you’ve been to Jurassic Park, you’ve never seen anything like a Mastino. These majestic guardians of startling appearance are massive, powerful dogs. The U.S. Neapolitan Mastiff Club describes their dog’s head as “astounding”—and give them credit for hitting upon just the right adjective. The profuse hanging wrinkles and folds, and pendulous lips, make a Mastino look like a marzipan Mastiff that’s been out in the sun too long. And yet, the breed’s inner dignity and nobility can only be described as beautiful. The Neapolitan Mastiff is a huge, powerful guarder whose astounding appearance has intimidated intruders since the days of ancient Rome. Wary with strangers, the profusely wrinkled Mastino is sweet, placid, and steady among loved ones.","Loyal, Dignified, Watchful",102,60.96,78.74,49.895160700000005,68.0388555,7.0,9.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.2,Aloof/Wary
Nederlandse Kooikerhondje,"The Kooikerhondje (Koi-ker-hond-yuh)—the “little white and orange dog with a big heart”—is a sporty, eye-catching fellow with a silky all-weather coat of white with red patches. They are instantly recognizable thanks to their large, black-tipped ears and the richly feathered tail they wag proudly. The breed has the sturdy bone structure expected of a serious hunter, but the overall picture is that of a harmoniously built dog of smooth, flowing contours and springy gait. The Nederlandse Kooikerhondje is lively, agile, self-confident, good-natured and alert. The breed is faithful, easy-going and friendly in the home. Outdoors he is a true sporting dog being keen, swift, tough, attentive and energetic. With sufficient perseverance and stamina, he enjoys working and does so with a cheerful character.","Friendly, Alert, Quick",150,35.56,43.18,9.071847400000001,13.6077711,12.0,15.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers
Newfoundland,"A male Newfoundland can weigh up to 150 pounds and stand 28 inches at the shoulder; females typically go 100 to 120 pounds. The Newf head is majestic, the expression soft and soulful. The outer coat is flat and coarse. Colors are gray, brown, black, and a black-and-white coat named for artist Sir Edwin Landseer, who popularized the look in his paintings.The Newfie breed standard says that a sweet temperament is the “most important single characteristic of the breed.” The Newf’s sterling character is expressed in their affinity for kids. Trusting and trainable, Newfs respond well to gentle guidance. These noble giants are among the world’s biggest dogs, and acquiring a pet that could outweigh you comes with obvious challenges. The massive Newfoundland is a strikingly large, powerful working dog of heavy bone and dignified bearing. The sweet-tempered Newfie is a famously good companion and has earned a reputation as a patient and watchful “nanny dog” for kids.","Sweet, Patient, Devoted",40,66.04,71.12,45.359237,68.0388555,9.0,10.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
Norfolk Terrier,"Norfolk Terriers are among the smallest working terriers, standing no higher than 10 inches at the shoulder. The coat is hard, wiry, and straight. They share many traits with their close cousins, Norwich Terriers. To tell them apart, look at the ears: The Norwich has erect, pointed ears; Norfolk ears are neatly folded over.Bred to work in packs, Norfolks are more gregarious than a typical terrier, but they have plenty of the old terrier pep. Few Norfolks these days earn their living hunting rodents, but a good one will fearlessly do so when given a chance. Norfolks bond closely, sometimes jealously, with their owners and make nice watchdogs. They have a reputation as a good traveler: portable, adaptable, and up for anything. Norfolk Terriers are little, cute, and loyal, and they will gladly curl up in your lap, but don’t dare call them lapdogs. Norfolks, despite their toyish qualities, are genuine terriers—feisty, confident, sturdy, and game for adventure.","Fearless, Alert, Fun-Loving",126,22.86,25.4,4.9895160700000005,5.4431084400000005,12.0,16.0,Terrier Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Norrbottenspets,"Nobs aren’t large dogs (a big male stands a shade below 20 inches) but their tough, sinewy bodies are built to withstand punishing terrain and harsh climates. They are a small-sized hunting dog of Spitz-type, which was thought to be extinct but survived as a farm and hunting dog in the Northern parts of Sweden and Finland. To be able to navigate the rough terrain and climate of the Scandinavian forests and hold large dangerous game, like moose, Norrbottenspets evolved to be extremely agile, rugged, and weatherproof with a fearless attitude, while at the same time kind and affectionate companions at home. They exhibit no extremes in physical characteristics because they must do all things well. The Norrbottenspets is a small, slightly rectangular spitzdog, well poised, with sinewy and well-developed muscles. Alert with head carried high, they have a fearless attitude and are extremely agile. They are calm, keen, and attentive, with a kind disposition.","Fearless, Agile, Attentive",,41.910000000000004,45.72,9.071847400000001,13.6077711,14.0,17.0,Miscellaneous Class,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,,,,
Norwegian Buhund,"The Buhund, a prototypical spitz, provides a good opportunity to explain the term. Spitz are cold-weather breeds characterized by a dense coat, a tail curved tightly over the back, a wedge-shaped head, and erect, pointed ears (“spitz” means “pointed” in ancient German). They can be pint-sized like Pomeranians, mighty like Malamutes, or mid-sized like the lithe but sturdy Buhund. Males can stand 18.5 inches high and weight up to 40 pounds. Coat colors are wheaten or black. The densely coated Norwegian Buhund, a Nordic spitz-type closely associated with the Vikings, is a medium-sized cold-weather worker adept at herding and guarding. As family dogs, Buhunds are smart, affectionate, and steadfastly devoted.","Confident, Smart, Perceptive",165,40.64,46.99,11.793401620000001,18.143694800000002,12.0,15.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.8,Friendly
